"restaurant_id","name","prev_month_orders","current_month_orders","monthly_difference"
198,"Delicious Diner (French)","4","1","3"
12,"Tandoori Lounge (Desserts)","3","1","2"
20,"Royal Diner (North Indian)","3","1","2"
61,"Chennai Bistro (Desserts)","3","1","2"
150,"Savor Diner (Japanese)","3","1","2"
176,"Authentic Corner (Desserts)","3","1","2"
181,"Savor Cafe (French)","3","1","2"
3,"Delicious Eatery (Seafood)","2","1","1"
3,"Delicious Eatery (Seafood)","2","1","1"
8,"Flavors of Point (Biryani)","2","1","1"
9,"Delicious Diner (BBQ)","2","1","1"
9,"Delicious Diner (BBQ)","2","1","1"
12,"Tandoori Lounge (Desserts)","2","1","1"
16,"Chennai Grill (Street Food)","2","1","1"
20,"Royal Diner (North Indian)","2","1","1"
23,"Golden Corner (South Indian)","2","1","1"
36,"Flavors of Spot (Chinese)","2","1","1"
36,"Flavors of Spot (Chinese)","2","1","1"
39,"Savor Bistro (Japanese)","2","1","1"
44,"Authentic Grill (Thai)","2","1","1"
46,"Madras Grill (Cafe)","2","1","1"
48,"Golden Point (Andhra)","2","1","1"
50,"Grand Point (Continental)","2","1","1"
59,"Authentic Point (Chettinad)","2","1","1"
59,"Authentic Point (Chettinad)","2","1","1"
61,"Chennai Bistro (Desserts)","2","1","1"
65,"Delicious Hut (Bakery)","2","1","1"
66,"Madras Cafe (Kerala)","2","1","1"
72,"Flavors of Point (Japanese)","2","1","1"
75,"Flavors of Grill (Korean)","2","1","1"
76,"Golden Diner (Juice Bar)","2","1","1"
77,"Chennai Corner (Bakery)","2","1","1"
82,"Madras Hut (South Indian)","2","1","1"
84,"Spicy Corner (Desserts)","2","1","1"
84,"Spicy Corner (Desserts)","2","1","1"
90,"Madras Lounge (Japanese)","2","1","1"
93,"Golden Lounge (Seafood)","2","1","1"
94,"Delicious Grill (Mediterranean)","2","1","1"
94,"Delicious Grill (Mediterranean)","2","1","1"
95,"Delicious Diner (Seafood)","2","1","1"
96,"Flavors of Diner (Andhra)","2","1","1"
98,"Golden Kitchen (Desserts)","2","1","1"
99,"Grand Cafe (French)","2","1","1"
103,"Golden Spot (Italian)","2","1","1"
106,"Classic Cafe (Desserts)","2","1","1"
110,"Grand Lounge (Kerala)","2","1","1"
118,"Flavors of Bistro (Mediterranean)","2","1","1"
119,"Golden Spot (Bakery)","2","1","1"
121,"Flavors of House (Korean)","2","1","1"
122,"Flavors of Corner (Juice Bar)","2","1","1"
124,"Spicy Diner (Continental)","2","1","1"
124,"Spicy Diner (Continental)","2","1","1"
131,"Authentic Spot (Thai)","2","1","1"
133,"Tandoori Corner (North Indian)","2","1","1"
138,"Spicy Hut (Japanese)","2","1","1"
139,"Golden Corner (Street Food)","2","1","1"
140,"Authentic Spot (Chettinad)","2","1","1"
141,"Classic Diner (Andhra)","2","1","1"
142,"Chennai Grill (Biryani)","2","1","1"
146,"Royal Diner (Bakery)","2","1","1"
151,"Authentic Corner (Biryani)","2","1","1"
152,"Savor Corner (Andhra)","2","1","1"
152,"Savor Corner (Andhra)","2","1","1"
153,"Chennai Eatery (Italian)","2","1","1"
158,"Spicy House (Cafe)","2","1","1"
163,"Grand Hut (Thai)","2","1","1"
168,"Spicy Kitchen (French)","2","1","1"
170,"Classic Spot (Cafe)","2","1","1"
172,"Savor Hut (Cafe)","2","1","1"
179,"Savor Diner (Continental)","2","1","1"
181,"Savor Cafe (French)","2","1","1"
181,"Savor Cafe (French)","2","1","1"
193,"Tandoori Diner (Biryani)","2","1","1"
195,"Classic House (Mediterranean)","2","1","1"
196,"Tandoori Spot (Andhra)","2","1","1"
198,"Delicious Diner (French)","2","1","1"
199,"Classic Hut (French)","2","1","1"
