order_id,customer_id,restaurant_id,order_date,delivery_time,order_status,total_amount,payment_mode,feedback_rating,total_fulfillment_minutes,discount_applied
1,114,73,01-07-2024 17:42,01-07-2024 18:49,Delivered,3098.28,Cash,1.41,67,33.25
2,402,68,31-05-2025 07:42,31-05-2025 08:44,Cancelled,83.87,Credit Card,1.21,62,37.85
3,46,30,20-10-2024 00:02,20-10-2024 01:28,Pending,4250.01,Credit Card,0.67,86,33.45
4,235,181,13-11-2023 12:48,13-11-2023 14:10,Delivered,1180.55,Cash,3.16,82,23.01
5,445,10,24-07-2024 13:45,24-07-2024 15:09,Delivered,4741.26,UPI,3.58,84,36.78
6,192,20,17-06-2024 14:39,17-06-2024 15:57,Pending,904.78,Cash,0.28,78,41.56
7,98,175,01-12-2024 22:02,01-12-2024 22:50,Delivered,4189.78,UPI,1.94,48,16.41
8,485,43,04-04-2024 20:17,04-04-2024 21:23,Pending,1717.02,UPI,0.9,66,48.91
9,472,158,12-10-2024 20:05,12-10-2024 21:24,Pending,4379.38,Credit Card,0.15,79,22.45
10,271,196,07-02-2025 16:13,07-02-2025 16:58,Delivered,658.37,UPI,4.73,45,12.83
11,137,192,11-12-2023 12:26,11-12-2023 13:42,Pending,4600.6,UPI,2.23,76,39.57
12,270,181,30-09-2024 07:52,30-09-2024 08:23,Cancelled,1935.19,UPI,4.84,31,7.66
13,301,109,07-11-2023 00:34,07-11-2023 01:40,Pending,396.93,Credit Card,0.94,66,18.66
14,208,189,20-02-2024 02:07,20-02-2024 03:05,Pending,3274.69,Cash,0.64,58,23.93
15,188,155,14-08-2023 20:55,14-08-2023 21:38,Cancelled,4417.59,Credit Card,2.37,43,23.7
16,243,139,01-12-2024 09:25,01-12-2024 10:41,Cancelled,492.38,Cash,2.23,76,26.67
17,189,131,09-07-2024 21:27,09-07-2024 22:17,Pending,989.98,Cash,2,50,38.68
18,241,36,09-11-2024 10:13,09-11-2024 11:31,Cancelled,1055.79,Credit Card,0.86,78,26.94
19,258,113,25-10-2023 09:46,25-10-2023 11:01,Delivered,2045.16,UPI,2.56,75,46.3
20,480,7,17-03-2025 04:34,17-03-2025 05:52,Cancelled,503.54,Credit Card,0.49,78,11.97
21,85,184,27-05-2025 17:48,27-05-2025 18:46,Pending,4675.2,UPI,3.26,58,36.7
22,295,27,26-05-2024 13:56,26-05-2024 14:29,Pending,2908.85,UPI,2.9,33,8.2
23,413,187,23-10-2023 22:25,23-10-2023 23:03,Delivered,4927.02,Credit Card,1.67,38,44.68
24,233,77,10-01-2025 11:28,10-01-2025 12:40,Delivered,4120.23,Cash,4.01,72,38.19
25,276,43,29-09-2023 01:16,29-09-2023 02:27,Cancelled,4089.3,Cash,4.72,71,42.76
26,56,138,18-03-2025 08:44,18-03-2025 09:44,Pending,495.38,UPI,1.13,60,28.1
27,221,174,06-09-2023 16:47,06-09-2023 17:22,Pending,1547.38,UPI,1.74,35,42.21
28,242,180,12-08-2024 08:15,12-08-2024 09:17,Cancelled,3990.77,UPI,4.63,62,46.72
29,247,96,02-01-2024 02:19,02-01-2024 03:26,Pending,653.1,Credit Card,3.28,67,20.3
30,475,20,01-12-2023 09:19,01-12-2023 10:25,Pending,3571.21,Credit Card,3.72,66,17.2
31,459,63,18-11-2023 21:09,18-11-2023 21:45,Delivered,3431.37,Cash,2.4,36,44.38
32,243,40,20-05-2025 05:53,20-05-2025 07:14,Cancelled,1637.52,Cash,2.09,81,27.46
33,303,140,17-09-2024 13:31,17-09-2024 14:54,Pending,4545.35,Cash,0.5,83,17.25
34,233,72,23-05-2025 13:51,23-05-2025 15:02,Cancelled,2734.94,Credit Card,1.18,71,2.55
35,104,177,18-08-2024 19:37,18-08-2024 21:04,Pending,964.15,Credit Card,1.29,87,9.81
36,75,200,15-03-2024 12:44,15-03-2024 13:16,Cancelled,4788.95,Cash,0.5,32,12.48
37,388,146,13-09-2024 10:45,13-09-2024 12:05,Pending,918,Cash,2.36,80,24.24
38,234,31,17-05-2025 02:32,17-05-2025 03:05,Delivered,4774.84,Credit Card,3.76,33,45.3
39,263,104,15-09-2024 05:11,15-09-2024 06:41,Delivered,4062.4,Credit Card,0.04,90,26.97
40,94,6,01-11-2024 14:39,01-11-2024 16:03,Delivered,712.9,Cash,4.7,84,21.41
41,386,46,24-09-2023 10:02,24-09-2023 11:29,Pending,4398.7,Credit Card,4.38,87,11.78
42,368,7,09-09-2024 23:40,10-09-2024 00:37,Pending,1093.85,Cash,2.01,57,31.1
43,157,44,27-10-2024 12:54,27-10-2024 13:43,Delivered,2695.68,Credit Card,0.62,49,39.28
44,299,57,26-04-2024 05:21,26-04-2024 06:02,Pending,4352.73,Credit Card,1.22,41,28.84
45,34,12,30-08-2024 11:14,30-08-2024 12:09,Delivered,1877.41,Cash,0.12,55,27.11
46,88,138,08-11-2024 17:02,08-11-2024 17:44,Pending,2132.75,Credit Card,1.25,42,11.33
47,73,117,05-05-2024 07:36,05-05-2024 08:54,Delivered,1474.71,UPI,1.35,78,48.74
48,170,191,11-10-2023 03:19,11-10-2023 03:49,Pending,4143.23,Credit Card,2.61,30,29.62
49,81,3,13-12-2023 00:08,13-12-2023 00:48,Delivered,770.17,Credit Card,2.67,40,43.25
50,51,184,08-10-2023 03:07,08-10-2023 04:36,Cancelled,115.04,UPI,3.27,89,42.45
51,426,53,28-01-2024 23:30,29-01-2024 00:03,Pending,2002.4,Credit Card,2.27,33,25.29
52,426,117,23-12-2024 02:53,23-12-2024 03:44,Delivered,3530,Credit Card,0.17,51,1.57
53,386,56,18-08-2024 11:01,18-08-2024 12:26,Cancelled,588.81,UPI,3.15,85,29.98
54,164,145,21-05-2024 03:36,21-05-2024 04:42,Pending,2183.03,Cash,2.18,66,31.1
55,56,12,13-09-2024 10:10,13-09-2024 10:47,Pending,648.31,Cash,3.42,37,12.37
56,127,94,11-10-2023 05:03,11-10-2023 05:53,Cancelled,2216.33,Cash,4.69,50,12.33
57,311,103,20-12-2024 03:26,20-12-2024 04:09,Pending,2398.53,Cash,0.81,43,49.27
58,167,164,29-12-2024 16:51,29-12-2024 17:43,Pending,4947.1,UPI,4.96,52,9.83
59,244,82,06-10-2024 18:47,06-10-2024 20:10,Delivered,560.09,UPI,1.29,83,41.77
60,205,20,17-09-2024 17:44,17-09-2024 18:42,Cancelled,2227.71,Credit Card,4.1,58,7.5
61,215,103,02-08-2024 10:20,02-08-2024 10:59,Cancelled,1360.65,Credit Card,3.87,39,29.92
62,226,34,28-04-2024 10:23,28-04-2024 11:09,Pending,1519.66,UPI,0.95,46,35.53
63,226,66,12-03-2024 13:10,12-03-2024 14:05,Delivered,2382.52,Credit Card,1.76,55,47.43
64,192,174,06-12-2024 08:56,06-12-2024 09:35,Pending,1317.2,UPI,3.29,39,27.48
65,437,129,23-10-2023 06:31,23-10-2023 07:37,Pending,2857.87,Cash,4.47,66,44.47
66,194,122,25-09-2024 02:58,25-09-2024 04:03,Delivered,1551.5,UPI,2.21,65,36.52
67,487,155,01-04-2024 14:31,01-04-2024 15:37,Cancelled,2372.5,UPI,3.11,66,1.25
68,364,61,28-07-2023 12:41,28-07-2023 13:54,Cancelled,3139.12,UPI,3.26,73,6.66
69,139,97,12-09-2023 04:01,12-09-2023 04:52,Cancelled,1688.28,Cash,4.08,51,43.65
70,114,123,13-09-2024 22:16,13-09-2024 23:26,Pending,2454.87,UPI,3.45,70,42.4
71,326,136,09-12-2023 18:43,09-12-2023 20:13,Cancelled,2414.06,Credit Card,2.44,90,8.65
72,135,92,03-06-2025 00:46,03-06-2025 01:55,Delivered,3895.69,Cash,4.58,69,26.68
73,230,133,14-09-2023 22:06,14-09-2023 23:23,Cancelled,2270.56,Cash,2.84,77,30.39
74,346,25,05-05-2024 01:24,05-05-2024 02:26,Pending,1849.33,Cash,4.28,62,18.26
75,287,58,01-09-2023 10:56,01-09-2023 11:48,Cancelled,2503.35,Credit Card,4.74,52,43.42
76,494,51,13-02-2024 16:21,13-02-2024 17:12,Cancelled,1301.25,Credit Card,1.08,51,28.4
77,425,45,29-04-2024 08:05,29-04-2024 08:35,Cancelled,1947.63,Credit Card,2.69,30,10.55
78,153,106,28-03-2024 23:34,29-03-2024 00:38,Delivered,4536.07,Credit Card,0.85,64,37.96
79,168,43,01-07-2025 18:58,01-07-2025 20:26,Pending,3925.69,UPI,0.67,88,7.57
80,8,182,27-04-2025 03:48,27-04-2025 04:25,Delivered,749.97,Cash,1.74,37,4.23
81,219,15,28-07-2024 22:59,29-07-2024 00:09,Cancelled,4321.9,UPI,1.93,70,15.01
82,9,127,02-09-2023 07:13,02-09-2023 08:25,Delivered,2491.4,UPI,3.73,72,22.26
83,292,178,17-04-2025 18:36,17-04-2025 19:55,Delivered,616.59,UPI,1.24,79,39.29
84,348,110,27-12-2024 09:43,27-12-2024 10:14,Cancelled,2954.58,UPI,4.8,31,7.68
85,279,85,12-07-2025 07:20,12-07-2025 07:53,Cancelled,451.92,Cash,2.23,33,26.06
86,348,33,28-11-2024 09:51,28-11-2024 10:36,Pending,73.03,Cash,3.9,45,24.99
87,335,158,24-09-2023 15:19,24-09-2023 16:30,Cancelled,542.4,UPI,3.77,71,44.29
88,335,52,09-04-2025 13:03,09-04-2025 13:55,Pending,3417.29,UPI,2.02,52,10.87
