delivery_id,order_id,delivery_person_id,delivery_status,distance,delivery_time,estimated_time,delivery_fee,vehicle_type,delay_minutes,sla_breach_flag,distance_tier
1,1418,104,On the way,40.64,34,58,41.05,Electric Bike,0,Within SLA,Long Distance
2,713,400,Delivered,16.53,18,58,9.25,Bike,0,Within SLA,Medium Distance
3,264,314,Cancelled,9.98,37,65,13.59,Electric Scooter,0,Within SLA,Medium Distance
4,1015,498,Delivered,30.36,27,69,40.05,Electric Bike,0,Within SLA,Long Distance
5,1198,45,Cancelled,35.15,26,32,7.75,Electric Scooter,0,Within SLA,Long Distance
6,956,297,Cancelled,7.85,27,59,38.03,Moped,0,Within SLA,Medium Distance
7,791,498,On the way,21.11,19,48,35.76,Electric Bike,0,Within SLA,Long Distance
8,921,471,Delivered,5.09,47,35,28.79,Bike,12,Breached,Medium Distance
9,1044,159,On the way,12.47,48,24,36.12,Electric Bike,24,Breached,Medium Distance
10,1328,498,Cancelled,46.58,24,68,36.82,Electric Scooter,0,Within SLA,Long Distance
11,664,53,On the way,46.08,43,67,19.43,Moped,0,Within SLA,Long Distance
12,415,106,Delivered,47.18,33,47,40.21,Moped,0,Within SLA,Long Distance
13,606,334,Pending,40.91,45,33,22.76,Electric Bike,12,Breached,Long Distance
14,1442,295,On the way,44.89,37,26,33.99,Scooter,11,Breached,Long Distance
15,1007,354,Delivered,29.95,22,21,21.56,Scooter,1,Within SLA,Long Distance
16,532,382,Cancelled,48.3,28,38,0.46,Scooter,0,Within SLA,Long Distance
17,1485,185,Pending,19.32,20,26,39.66,Scooter,0,Within SLA,Medium Distance
18,1453,150,On the way,30.36,16,26,12.82,Bike,0,Within SLA,Long Distance
19,1058,354,Delivered,38.15,29,49,47.24,Electric Scooter,0,Within SLA,Long Distance
20,1378,42,Pending,40.81,28,56,18.95,Motorcycle,0,Within SLA,Long Distance
21,804,431,Delivered,11.45,40,52,17.93,Scooter,0,Within SLA,Medium Distance
22,60,413,On the way,43.48,17,38,48.89,Bike,0,Within SLA,Long Distance
23,1475,307,Delivered,32.37,23,55,44.35,Moped,0,Within SLA,Long Distance
24,414,303,Cancelled,47.19,41,54,29.48,Moped,0,Within SLA,Long Distance
25,1165,458,Delivered,6.63,32,23,36.3,Moped,9,Breached,Medium Distance
26,981,357,Delivered,19.4,36,67,41.74,Electric Bike,0,Within SLA,Medium Distance
27,628,232,Pending,37.76,54,38,37.5,Bike,16,Breached,Long Distance
28,320,471,On the way,25.11,26,22,28.2,Electric Scooter,4,Within SLA,Long Distance
29,440,207,Pending,40.01,50,39,45.67,Electric Bike,11,Breached,Long Distance
30,706,407,Cancelled,11.91,43,55,6.82,Moped,0,Within SLA,Medium Distance
31,1426,209,Cancelled,3.31,28,23,18.64,Electric Scooter,5,Within SLA,Short Distance
32,604,203,On the way,43.81,26,20,36.09,Scooter,6,Breached,Long Distance
33,1295,46,Delivered,27.25,45,35,31.36,Moped,10,Breached,Long Distance
34,1107,316,Pending,29.76,24,43,5.77,Electric Bike,0,Within SLA,Long Distance
35,1092,317,Pending,29.85,34,26,15.2,Electric Scooter,8,Breached,Long Distance
36,958,321,Pending,6.58,19,60,7.76,Motorcycle,0,Within SLA,Medium Distance
37,1347,141,On the way,40.61,23,40,9.68,Bike,0,Within SLA,Long Distance
38,150,339,Cancelled,2.25,34,52,24.48,Electric Scooter,0,Within SLA,Short Distance
39,1284,492,Pending,23.65,27,62,31.16,Moped,0,Within SLA,Long Distance
40,1272,315,On the way,22.68,44,42,22.49,Motorcycle,2,Within SLA,Long Distance
41,12,325,Pending,17.74,54,25,11.11,Scooter,29,Breached,Medium Distance
42,319,40,On the way,49.75,32,34,3.39,Moped,0,Within SLA,Long Distance
43,486,125,Delivered,18.21,15,66,19.87,Electric Bike,0,Within SLA,Medium Distance
44,958,324,Cancelled,35.55,52,34,29.24,Moped,18,Breached,Long Distance
45,918,469,Cancelled,41.55,57,25,22.74,Electric Bike,32,Breached,Long Distance
46,1233,341,Pending,22.3,55,53,6.31,Bike,2,Within SLA,Long Distance
47,1154,345,Cancelled,24.01,26,64,4.23,Scooter,0,Within SLA,Long Distance
48,911,394,On the way,24.27,47,37,4.8,Electric Bike,10,Breached,Long Distance
49,288,419,Pending,38.33,38,28,25.43,Electric Scooter,10,Breached,Long Distance
50,1102,88,Delivered,37.41,30,69,45.47,Moped,0,Within SLA,Long Distance
51,159,320,Cancelled,46,45,50,25.57,Bike,0,Within SLA,Long Distance
52,514,194,Delivered,26.82,49,32,37.07,Electric Scooter,17,Breached,Long Distance
53,876,334,Cancelled,24.55,28,36,16.35,Scooter,0,Within SLA,Long Distance
54,1172,152,Delivered,6,60,22,33.36,Electric Scooter,38,Breached,Medium Distance
55,1068,5,Cancelled,28.33,34,64,47.77,Motorcycle,0,Within SLA,Long Distance
56,54,380,Delivered,29.36,18,30,14.97,Bike,0,Within SLA,Long Distance
57,677,248,Delivered,28.65,53,48,21.35,Scooter,5,Within SLA,Long Distance
58,330,432,Pending,32.32,35,28,40.69,Electric Bike,7,Breached,Long Distance
59,1217,68,Pending,8.43,43,55,18.68,Electric Scooter,0,Within SLA,Medium Distance
60,739,110,Cancelled,31.09,47,44,2.28,Moped,3,Within SLA,Long Distance
61,584,276,On the way,46.13,29,31,6.94,Scooter,0,Within SLA,Long Distance
62,101,393,Pending,35.95,30,53,48.64,Electric Bike,0,Within SLA,Long Distance
63,528,369,Cancelled,12.47,53,24,37.18,Motorcycle,29,Breached,Medium Distance
64,625,473,On the way,33.56,45,20,20.56,Motorcycle,25,Breached,Long Distance
65,947,222,On the way,20.07,55,55,7.16,Electric Scooter,0,Within SLA,Long Distance
66,22,409,Cancelled,2.54,51,24,12.09,Bike,27,Breached,Short Distance
67,490,225,Pending,15.72,26,39,0.04,Moped,0,Within SLA,Medium Distance
68,838,341,Cancelled,35.39,23,46,9.61,Scooter,0,Within SLA,Long Distance
69,421,282,Cancelled,4.76,33,55,11.92,Electric Scooter,0,Within SLA,Short Distance
70,631,261,Cancelled,2.88,17,56,0.88,Electric Bike,0,Within SLA,Short Distance
71,1328,472,Cancelled,39.98,44,59,28.51,Electric Scooter,0,Within SLA,Long Distance
